Oracle Linux Release,Architectures,RHEL base,Oracle Linux release date,RHEL release date,Scraped Date
"i386, x86-64",4.5,?,01-05-2007,?,16-10-2025
4.6,2007-12-10[50],16-11-2007,24,,16-10-2025
4.7,2008-08-05[51],24-07-2008,12,,16-10-2025
4.8,2009-05-26[52],18-05-2009,8,,16-10-2025
4.9,?,16-02-2011,?,,16-10-2025
5,2007-06-26[53],14-03-2007,104,,16-10-2025
5.1,2007-11-26[54],07-11-2007,19,,16-10-2025
5.2,2008-06-02[55],21-05-2008,12,,16-10-2025
5.3,2009-01-28[56],20-01-2009,8,,16-10-2025
"i386, x86-64, ia64",5.4,2009-09-09[57],02-09-2009,7,16-10-2025
5.5,2010-04-07[58],31-03-2010,,,16-10-2025
5.6,2011-01-22[59],13-01-2011,9,,16-10-2025
5.7,2011-08-16[60],21-07-2011,26,,16-10-2025
5.8,2012-03-02[61],21-02-2012,10,,16-10-2025
5.9,2013-01-16[62],07-01-2013,9,,16-10-2025
5.1,2013-10-08[63],01-10-2013,7,,16-10-2025
5.11,2014-09-23[64],16-09-2014,,,16-10-2025
"i386, x86-64",6,2011-02-11[65],10-11-2010,93,16-10-2025
6.1,01-06-2011,19-05-2011,13,,16-10-2025
6.2,15-12-2011,06-12-2011,9,,16-10-2025
6.3,2012-06-28[66],21-06-2012,7,,16-10-2025
6.4,2013-02-28[67],21-02-2013,,,16-10-2025
6.5,2013-11-27[68],21-11-2013,6,,16-10-2025
6.6,2014-10-21[69],14-10-2014,7,,16-10-2025
6.7,2015-07-31[70],22-07-2015,9,,16-10-2025
SPARC,2017-03-31[39],618,,,16-10-2025
"i386, x86-64",6.8,2016-05-16[71],10-05-2016,6,16-10-2025
6.9,2017-03-28[72],21-03-2017,7,,16-10-2025
6.1,2018-07-02[73],19-06-2018,13,,16-10-2025
x86-64,7,2014-07-23[74],10-06-2014,43,16-10-2025
7.1,2015-03-12[75],05-03-2015,7,,16-10-2025
7.2,2015-11-25[76],19-11-2015,6,,16-10-2025
7.3,2016-11-10[77],03-11-2016,6,,16-10-2025
7.4,2017-08-08[78],31-07-2017,8,,16-10-2025
7.5,2018-04-17[79],10-04-2018,7,,16-10-2025
"x86-64, ARM64",7.6,2018-11-07[80],30-10-2018,8,16-10-2025
7.7,2019-08-15[81],06-08-2019,9,,16-10-2025
7.8,2020-04-08[82],31-03-2020,8,,16-10-2025
7.9,2020-10-07[83],29-09-2020,8,,16-10-2025
8,2019-07-18[84],07-05-2019,72,,16-10-2025
8.1,2019-11-15[85],05-11-2019,10,,16-10-2025
8.2,2020-05-06[86],28-04-2020,8,,16-10-2025
8.3,2020-11-13[87],2020-11-03[88],10,,16-10-2025
8.4,2021-05-26[89],18-05-2021,8,,16-10-2025
8.5,2021-11-16[90],09-11-2021,7,,16-10-2025
8.6,2022-05-16[91],10-05-2022,6,,16-10-2025
8.7,2022-11-16[92],09-11-2022,7,,16-10-2025
8.8,2023-05-24[93],16-05-2023,8,,16-10-2025
8.9,2023-11-21[94],2023-11-14[95],7,,16-10-2025
8.1,2024-05-29[96],2024-05-22[97],7,,16-10-2025
9,2022-06-30[44],2022-05-17[98],44,,16-10-2025
9.1,2022-11-23[99],15-11-2022,8,,16-10-2025
9.2,2023-05-24[93],10-05-2023,14,,16-10-2025
9.3,2023-11-15[100],08-11-2023,7,,16-10-2025
9.4,2024-05-06[101],30-04-2024,6,,16-10-2025
9.5,2024-11-19[102],12-11-2024,7,,16-10-2025
9.6,2025-05-27[103],20-05-2025,7,,16-10-2025
10,2025-06-26[104],20-05-2025,37,,16-10-2025
